Model (Çıkış Yılı),Maks. Güç (W),Teknoloji,Kaynak,Notlar
Galaxy A8,15,Fast Charging (Adaptive),1,-
Galaxy A8+,15,Fast Charging (Adaptive),2,-
Galaxy A9,15,Fast Charging (Adaptive),3,-
Galaxy A10,Yok (0),– (Hızlı şarj yok),4,"Mikro-USB, hızlı şarj desteği yok4"
Galaxy A10s,Yok (0),– (Hızlı şarj yok),5,"Mikro-USB, hızlı şarj desteği yok5"
Galaxy A20,15,Fast Charging (Adaptive),6,-
Galaxy A20s,15,Fast Charging (Adaptive),7,-
Galaxy A30,15,Fast Charging (Adaptive),– (resmi bulunamadı),Teknik belgede “Fast Charging” vurgu var
Galaxy A50,15,Fast Charging (Adaptive),8,-
Galaxy A50s,15,Fast Charging (Adaptive),–,-
Galaxy A51,15,Fast Charging (Adaptive),–,-
Galaxy A52,25,Super Fast Charging (25W),9,-
Galaxy A52s 5G,25,Super Fast Charging (25W),10,-
Galaxy A53,25,Super Fast Charging (25W),11,-
Galaxy A54,25,Super Fast Charging (25W),,-
Galaxy A70,25,Super Fast Charging (25W),6,-
Galaxy A70s,25,Super Fast Charging (25W),,-
Galaxy A71,25,Super Fast Charging (25W),6,-
Galaxy A72,25,Super Fast Charging (25W),,-
Galaxy A73,25,Super Fast Charging (25W),,-
Galaxy A80,25,Super Fast Charging (25W),,-
Galaxy A90 5G,25,Super Fast Charging (25W),12,-
Galaxy A12,15,Fast Charging (Adaptive),13,-
Galaxy A22,15,Fast Charging (Adaptive),–,-
Galaxy A32,15,Fast Charging (Adaptive),–,-
Galaxy A33,25,Super Fast Charging (25W),–,-
Galaxy A34,25,Super Fast Charging (25W),14,-
Galaxy A35,25,Super Fast Charging (25W),15,-
Galaxy A55,25,Super Fast Charging (25W),16,-
